product_id,product_name,loss_items,loss_amount,affected_revenue
42,Tinta Antifouling 503,2,2980.565718324011,-2980.565718324011
272,Cabo Náutico 4571,1,2826.7000000000007,-2826.7000000000007
283,Defensa Náutica 3209,1,2333.2436309826408,-2333.2436309826408
449,Bússola de Bordo 8282,2,2297.104197673083,-311.36419767308325
451,Cabo Náutico 5416,2,2059.790574479619,-2059.790574479619
170,Bateria Náutica 834,1,2021.951378736263,-2021.951378736263
445,Hélice de Alumínio 9779,1,1990.422160462564,-568.6921604625641
114,Tinta Antifouling 3228,1,1535.48530419101,-1535.48530419101
444,Hélice de Alumínio 4479,1,1426.0412820126548,-1426.0412820126548
297,Tinta Antifouling 9136,1,1360.8156023730662,-1360.8156023730662
274,Tinta Antifouling 5779,1,1284.6294837195892,-1284.6294837195892
101,Defensa Náutica 3482,1,1017.8514808626128,821.4185191373872
144,Vela Mestra 7171,1,905.1638750714421,810.7861249285579
295,Cabo Náutico 2105,2,805.29,-805.29
311,GPS Plotter 2249,1,791.3754594032962,-791.3754594032962
